name,protein,fat,carbo,unit,gram,image_url,ancestry,kcal
メバチ(メバチマグロ/目鉢),45.60,2.40,0.40,切り身,200.0,https://cdn.slism.jp/calorie/foodImages/110259.jpg,456,216
キハダ(キハダマグロ/黄肌/木肌/きはだ),48.60,0.80,0.00,切り身,200.0,https://cdn.slism.jp/calorie/foodImages/110252.jpg,456,212
ヤマメ(山女/山女魚/やまめ),30.36,7.10,0.50,1尾(可食部),165.0,https://cdn.slism.jp/calorie/foodImages/110275.jpg,456,196
ミナミマグロ(インドマグロ/南鮪),43.20,0.20,0.20,切り身,200.0,https://cdn.slism.jp/calorie/foodImages/110256.jpg,456,186
メバル(眼張/眼張魚/鮴/めばる),19.01,3.68,0.00,1尾(可食部),105.0,https://cdn.slism.jp/calorie/foodImages/110271.jpg,456,114
アワビ(鮑/鰒/蚫/あわび),19.05,0.45,6.00,1個（むき身）,150.0,https://cdn.slism.jp/calorie/foodImages/110285.jpg,456,110
ホタテ(ホタテガイ/帆立貝/ほたて),14.85,0.99,1.65,1個可食部（むき身）,110.0,https://cdn.slism.jp/calorie/foodImages/110311.jpg,456,79
タイラギ(玉珧/平貝/タイラガイ),15.26,0.14,1.05,1個(貝柱),70.0,https://cdn.slism.jp/calorie/foodImages/110298.jpg,456,70
ホキ(ほき),13.60,1.04,0.00,切り身,80.0,https://cdn.slism.jp/calorie/foodImages/110245.jpg,456,67
メルルーサ(ヘイク),13.60,0.48,0.00,切り身,80.0,https://cdn.slism.jp/calorie/foodImages/110272.jpg,456,62
ミナミダラ(南鱈/みなみだら),13.12,0.24,0.00,切り身,80.0,https://cdn.slism.jp/calorie/foodImages/110267.jpg,456,58
イセエビ(伊勢海老/伊勢えび),12.54,0.24,0.00,1尾(可食部),60.0,https://cdn.slism.jp/calorie/foodImages/110320.jpg,456,55
ホッキ(ホッキガイ/ウバガイ/姥貝/北寄貝),5.88,0.58,2.01,1個（むき身）,53.0,https://cdn.slism.jp/calorie/foodImages/110316.jpg,456,39
ホンモロコ(本諸子/モロコ/ゴマモロコ/ヤナギモロコ/ほんもろこ),5.25,1.23,0.03,1尾(丸ごと),30.0,https://cdn.slism.jp/calorie/foodImages/110251.jpg,456,34
ミルガイ(ミル貝/ミルクイ/海松食/水松食/ミルクイガイ/海松食貝),7.32,0.16,0.12,1個（むき身）,40.0,https://cdn.slism.jp/calorie/foodImages/110317.jpg,456,33
ホタテ貝柱(ほたての貝柱/帆立の生貝柱),5.37,0.03,1.47,Mサイズ1個,30.0,https://cdn.slism.jp/calorie/foodImages/110313.jpg,456,29
バイガイ(バイ/蛽/海蠃/海螄),4.40,0.16,0.84,1個(可食部),27.0,https://cdn.slism.jp/calorie/foodImages/110304.jpg,456,23
ツブ(螺/ツブ貝/つぶ),4.45,0.05,0.58,むき身,25.0,https://cdn.slism.jp/calorie/foodImages/110300.jpg,456,22
イタヤガイ(イタヤ貝),3.78,0.28,0.53,1個（むき身）,35.0,https://cdn.slism.jp/calorie/foodImages/110290.jpg,456,21
サザエ(栄螺/さざえ),3.49,0.07,0.14,1個(可食部),18.0,https://cdn.slism.jp/calorie/foodImages/110295.jpg,456,16
サクラエビ(桜海老/さくらえび),3.25,0.20,0.01,大さじ1,5.0,https://cdn.slism.jp/calorie/foodImages/110325.jpg,456,16
ワカサギ(公魚/鰙/若鷺/わかさぎ),2.88,0.34,0.02,1尾(丸ごと),20.0,https://cdn.slism.jp/calorie/foodImages/110276.jpg,456,15
アカガイ(赤貝/あかがい),2.70,0.06,0.70,1個（むき身）,20.0,https://cdn.slism.jp/calorie/foodImages/110279.jpg,456,15
バカガイ(破家蛤/馬珂蛤/バカ貝/馬鹿貝),2.51,0.12,0.55,1個（むき身）,23.0,https://cdn.slism.jp/calorie/foodImages/110305.jpg,456,14
クルマエビ(車海老/車えび/車蝦),3.02,0.08,0.00,1尾(可食部),14.0,https://cdn.slism.jp/calorie/foodImages/110321.jpg,456,14
大正海老(タイショウエビ/大正えび/コウライエビ),3.04,0.04,0.01,1尾(可食部),14.0,https://cdn.slism.jp/calorie/foodImages/110327.jpg,456,13
牡蠣(カキ/牡蠣貝/牡蛎/硴),1.32,0.28,0.94,1個（むき身）,20.0,https://cdn.slism.jp/calorie/foodImages/110292.jpg,456,12
タニシ(田螺/たにし),1.82,0.15,0.50,1個(可食部),14.0,https://cdn.slism.jp/calorie/foodImages/110299.jpg,456,11
とり貝(鳥貝/トリガイ/トリカイ),1.55,0.04,0.83,1個（むき身）,12.0,https://cdn.slism.jp/calorie/foodImages/110303.jpg,456,10
アゲマキガイ(アゲマキ/揚巻貝),1.62,0.12,0.40,1個（むき身）,20.0,https://cdn.slism.jp/calorie/foodImages/110280.jpg,456,10
トコブシ(とこぶし),1.60,0.04,0.30,1個（むき身）,10.0,https://cdn.slism.jp/calorie/foodImages/110301.jpg,456,8
チョウセンハマグリ(汀線はまぐり),1.30,0.08,0.54,1個(むき身),20.0,https://cdn.slism.jp/calorie/foodImages/110310.jpg,456,8
イガイ(貽貝/淡菜),1.24,0.17,0.38,1個（むき身）,12.0,https://cdn.slism.jp/calorie/foodImages/110289.jpg,456,8
シバエビ(芝海老/しばえび),1.68,0.04,0.01,有頭1尾(可食部),9.0,https://cdn.slism.jp/calorie/foodImages/110328.jpg,456,7
シジミ(蜆/しじみ/蜆貝),0.73,0.13,0.56,1カップ(可食部),13.0,https://cdn.slism.jp/calorie/foodImages/110297.jpg,456,7
はまぐり(ハマグリ),0.92,0.08,0.27,1個可食部,15.0,https://cdn.slism.jp/calorie/foodImages/110306.jpg,456,6
イカ(スルメイカ/するめいか/鯣烏賊/烏賊/いか),54.30,3.60,0.60,1杯（可食部）,300.0,https://cdn.slism.jp/calorie/foodImages/110345.jpg,456,264
コウイカ(甲イカ/コウイカ),48.43,0.98,0.33,1杯（可食部）,325.0,https://cdn.slism.jp/calorie/foodImages/110344.jpg,456,215
赤イカ(アカイカ/紅いか/あかいか),40.28,3.15,0.00,１杯(可食部),225.0,https://cdn.slism.jp/calorie/foodImages/110342.jpg,456,200
タコ(たこ/蛸/マダコ/真蛸),32.80,1.40,0.20,足切り身,200.0,https://cdn.slism.jp/calorie/foodImages/110361.jpg,456,152
ケンサキイカ(アカイカ/シロイカ/マルイカ/ヤリイカ),28.00,1.60,0.16,1杯(可食部),160.0,https://cdn.slism.jp/calorie/foodImages/110343.jpg,456,134
ヤリイカ(やりいか/槍烏賊),26.40,1.50,0.60,1杯(可食部),150.0,https://cdn.slism.jp/calorie/foodImages/110352.jpg,456,128
オオサガ(おおさが/コウジンメヌケ),13.04,6.40,0.08,切り身,80.0,https://cdn.slism.jp/calorie/foodImages/110076.jpg,456,115
毛ガニ(毛蟹/毛がに),18.96,0.60,0.24,1杯(可食部),120.0,https://cdn.slism.jp/calorie/foodImages/110333.jpg,456,86
ズワイガニ(ずわいがに/ズワイ),12.51,0.36,0.09,1杯（可食部）,90.0,https://cdn.slism.jp/calorie/foodImages/110335.jpg,456,57
ワタリガニ(渡り蟹/蝤蛑/ガザミ),10.08,0.21,0.21,1杯（可食部）,70.0,https://cdn.slism.jp/calorie/foodImages/110332.jpg,456,46
イイダコ(飯蛸),8.76,0.48,0.06,1匹(丸ごと),60.0,https://cdn.slism.jp/calorie/foodImages/110360.jpg,456,42
ナマコ(なまこ/海鼠),7.36,0.48,0.80,1匹(可食部),160.0,https://cdn.slism.jp/calorie/foodImages/110372.jpg,456,37
クラゲ(くらげ/海月/水母),7.28,0.14,0.00,1パック,140.0,https://cdn.slism.jp/calorie/foodImages/110370.jpg,456,31
タラバガニ(たらばがに/タラバ),5.85,0.14,0.09,足1本(可食部),45.0,https://cdn.slism.jp/calorie/foodImages/110338.jpg,456,27
ブラックタイガー(ウシエビ/牛海老),4.78,0.08,0.08,1尾(可食部),26.0,https://cdn.slism.jp/calorie/foodImages/110329.jpg,456,21
オキアミ(沖醤蝦/おきあみ),3.00,0.64,0.04,大さじ1,20.0,https://cdn.slism.jp/calorie/foodImages/110368.jpg,456,19
ホタルイカ(蛍烏賊/ほたるいか),2.36,0.70,0.04,1杯（丸ごと）,20.0,https://cdn.slism.jp/calorie/foodImages/110348.jpg,456,17
サザエの刺身(さざえの刺身/栄螺の刺身),3.49,0.07,0.14,3切れ程度,18.0,https://cdn.slism.jp/calorie/foodImages/201484.jpg,456,16
ほや(ホヤ/海鞘/老海鼠),2.30,0.37,0.37,1匹(可食部),46.0,https://cdn.slism.jp/calorie/foodImages/110374.jpg,456,14
甘えび(甘エビ/アマエビ),2.97,0.05,0.02,一尾（可食部）,15.0,https://cdn.slism.jp/calorie/foodImages/110319.jpg,456,13
ウニ(海栗/うに),1.60,0.48,0.33,1個分,10.0,https://cdn.slism.jp/calorie/foodImages/110365.jpg,456,12
肉
和牛の脂身(和牛牛肉の脂身/和牛リブの脂/和牛リブロース脂身),2.10,86.00,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111014.jpg,626,818
和牛牛肉(和牛ばら肉/和牛牛肉バラ),11.00,50.00,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111018.jpg,626,517
和牛サーロイン(和牛牛肉サーロイン),11.70,47.50,0.30,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111015.jpg,626,498
和牛リブロース(和牛牛肉リブロース),12.70,44.00,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111011.jpg,626,468
和牛肩ロース(和牛牛肉肩ロース),13.80,37.40,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111008.jpg,626,411
牛肉(輸入牛肉ばら/牛ばら肉/牛バラ),14.40,32.90,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111074.jpg,626,371
和牛ランプ(和牛牛肉ランプ),15.10,29.90,0.40,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111026.jpg,626,347
和牛リブロース赤肉(和牛牛肉リブロース赤身),16.80,27.50,0.30,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111013.jpg,626,331
ギアラ(牛ホルモン第四胃/赤センマイ/もつ),11.10,30.00,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111097.jpg,626,329
和牛肩ロース赤肉(和牛牛肉肩ロース赤身),16.50,26.10,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111010.jpg,626,316
イノブタ肉(猪豚肉/いのぶた肉),18.10,24.10,0.30,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111002.jpg,626,304
牛肉サーロイン(輸入牛肉サーロイン),17.40,23.70,0.40,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111071.jpg,626,298
牛ホルモン小腸(コプチャン/ホルモン/もつ),9.90,26.10,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111098.jpg,626,287
和牛肩肉(和牛牛肉肩肉),17.70,22.30,0.30,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111004.jpg,626,286
牛タン(ぎゅうたん/牛舌),15.20,21.70,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111090.jpg,626,269
猪肉(ししにく/いのしし肉/イノシシ肉),18.80,19.80,0.50,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111001.jpg,626,268
和牛外もも肉(和牛牛肉そともも),17.80,20.00,0.50,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111023.jpg,626,265
牛肉リブロース(輸入牛肉リブロース),18.50,19.50,0.30,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111067.jpg,626,263
和牛もも肉(和牛牛肉モモ),18.90,17.50,0.50,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111019.jpg,626,246
牛肉かたロース(輸入牛肉肩ロース),17.90,17.40,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111064.jpg,626,240
牛肉ランプ(輸入牛肉ランプ),18.40,16.40,0.40,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111082.jpg,626,234
牛ひき肉(牛挽肉/牛挽き肉),19.00,15.10,0.50,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111089.jpg,626,224
和牛ヒレ(和牛牛肉ヒレ赤肉/和牛ヒレ),19.10,15.00,0.30,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111029.jpg,626,223
牛肉外もも(輸入牛肉そともも),18.70,14.30,0.30,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111079.jpg,626,215
和牛ランプ赤肉(和牛牛肉ランプ赤身),19.20,13.60,0.50,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111028.jpg,626,211
和牛肩肉赤肉(和牛牛肉肩肉赤身),20.20,12.20,0.30,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111006.jpg,626,201
牛ハチノス(牛ホルモン第二胃/もつ),12.40,15.70,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111095.jpg,626,200
和牛もも肉赤肉(和牛牛肉モモ赤身),20.70,10.70,0.60,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111021.jpg,626,191
牛肉もも(輸入牛肉モモ),21.20,9.60,0.50,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111075.jpg,626,182
ミノ(牛ホルモン第一胃/牛ミノ/もつ),24.50,8.40,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111094.jpg,626,182
牛肉かた(輸入牛肉肩肉),19.00,10.60,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111060.jpg,626,180
牛肉リブロース赤肉(輸入牛肉リブロース赤身),21.10,8.90,0.40,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111069.jpg,626,174
牛肉かたロース赤肉(輸入牛肉かたロース赤身),19.70,9.50,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111066.jpg,626,173
和牛外もも赤肉(和牛牛肉そともも赤身),20.70,8.70,0.60,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111025.jpg,626,172
牛ホルモン大腸(テッチャン/ホルモン/もつ),9.30,13.00,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111099.jpg,626,162
和牛サーロイン赤肉(和牛牛肉サーロイン赤身),8.55,12.90,0.20,1枚,50.0,https://cdn.slism.jp/calorie/foodImages/111017.jpg,626,159
牛スジ(牛スジ肉/牛肉アキレス腱/牛筋肉/牛すじ肉),28.30,4.90,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111101.jpg,626,155
ウサギ肉(兎肉/兔肉/うさぎ肉),20.50,6.30,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111003.jpg,626,146
牛ハツ(牛心臓/牛肉ハツ/もつ),16.50,7.60,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111091.jpg,626,142
牛肉サーロイン赤肉(輸入牛肉サーロイン赤肉),22.00,4.40,0.50,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111073.jpg,626,136
牛ヒレ(輸入牛肉ヒレ赤肉/牛ヒレ肉/牛ヘレ),20.50,4.80,0.30,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111085.jpg,626,133
牛レバー(レバー/牛肉肝臓/キモ/もつ),19.60,3.70,3.70,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111092.jpg,626,132
牛マメ(牛腎臓/牛肉まめ/もつ),16.70,6.40,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111093.jpg,626,131
牛肉かた赤肉(輸入牛肉肩肉赤身),20.40,4.60,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111062.jpg,626,130
牛肉外もも赤肉(輸入牛肉そともも赤身),21.20,3.90,0.30,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111081.jpg,626,127
仔牛肉(子牛牛肉),20.90,3.60,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111087.jpg,626,122
牛肉ランプ赤肉(輸入牛肉ランプ赤身),21.60,3.00,0.50,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111084.jpg,626,121
牛テッポウ(牛直腸/もつ),11.60,7.00,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111100.jpg,626,115
牛コブクロ(牛肉子宮),18.40,3.00,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111102.jpg,626,106
牛肉もも赤肉(輸入牛肉モモ赤身),11.25,2.30,0.25,1枚,50.0,https://cdn.slism.jp/calorie/foodImages/111077.jpg,626,70
鯨本皮(本皮),9.70,68.80,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111112.jpg,626,689
牛テール(牛肉テール/牛の尾),11.60,47.10,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111103.jpg,626,492
アヒル肉(あひる肉),12.20,42.30,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111206.jpg,626,450
豚肉中型種(豚ばら肉中型種/豚バラ),13.40,40.10,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111153.jpg,626,434
豚肉(豚ばら肉/豚肉バラ/豚バラ肉),14.20,34.60,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111129.jpg,626,386
合鴨(合鴨肉/あいがも/アイガモ),14.20,29.00,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111205.jpg,626,333
豚ロース中型種(豚肉ロース中型種),18.30,22.60,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111149.jpg,626,291
豚レバー(レバー),44.88,7.48,5.50,1パック,220.0,https://cdn.slism.jp/calorie/foodImages/111166.jpg,626,282
豚外もも中型種(豚肉そともも中型種),18.00,20.30,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111158.jpg,626,268
豚ロース(豚肉ロース),19.30,19.20,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111123.jpg,626,263
豚肩ロース中型種(豚肉肩ロース中型種),17.70,19.30,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111145.jpg,626,256
豚肩ロース(豚肉肩ロース),17.10,19.20,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111119.jpg,626,253
豚肩肉中型種(豚肉肩中型種),18.30,17.20,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111141.jpg,626,239
豚外もも(豚肉そともも),18.80,16.50,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111136.jpg,626,235
ラム肩(ラムショルダー),17.10,17.10,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111201.jpg,626,233
豚軟骨(豚なんこつ/ドーナツ/のどぼとけ),17.80,17.90,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111173.jpg,626,231
豚足(とんそく),20.10,16.80,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111172.jpg,626,230
ラム(ラムロース),18.00,16.00,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111202.jpg,626,227
豚もも肉中型種(豚肉モモ中型種),19.50,15.10,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111154.jpg,626,225
マトンもも(子羊ブロック肉/マトンモモスライス),18.80,15.30,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111200.jpg,626,224
豚挽き肉(豚ひき肉/豚肉挽肉/豚挽肉),18.60,15.10,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111163.jpg,626,221
豚タン(豚舌),15.90,16.30,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111164.jpg,626,221
ラムもも(羊肉ブロック肉/ラムモモスライス/ジンギスカン),19.00,14.40,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111203.jpg,626,217
豚肩肉(豚肉肩),18.50,14.60,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111115.jpg,626,216
うずら肉(鶉肉/ウズラ),20.50,12.90,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111207.jpg,626,208
豚もも肉(豚肉モモ),20.50,10.20,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111130.jpg,626,183
豚もつ(豚もつ/豚の大腸),11.70,13.80,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111170.jpg,626,179
豚ホルモン(ひも/豚小腸),14.00,11.90,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111169.jpg,626,171
豚肩ロース赤肉(豚肉肩ロース赤身),19.70,7.80,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111121.jpg,626,157
豚肩ロース中型種赤肉(豚肉肩ロース中型種赤身),20.60,6.80,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111147.jpg,626,151
豚ロース赤肉(豚肉ロース赤身),22.70,5.60,0.30,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111127.jpg,626,150
豚外もも赤肉(豚肉そともも赤身),21.40,5.50,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111138.jpg,626,143
豚もも肉中型種赤肉(豚肉モモ中型種赤身),21.90,5.30,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111156.jpg,626,143
豚ロース中型種赤肉(豚肉ロース中型種赤身),22.90,4.60,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111151.jpg,626,141
豚外もも中型種赤肉(豚肉そともも中型種赤身),21.90,4.80,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111160.jpg,626,138
豚ハツ(豚の心臓),16.20,7.00,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111165.jpg,626,135
豚もも肉赤肉(豚肉モモ赤身),22.10,3.60,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111134.jpg,626,128
鴨肉(カナール/カネット),23.60,3.00,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111208.jpg,626,128
豚肩肉赤肉(豚肉肩赤身),20.90,3.80,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111117.jpg,626,125
豚肩肉中型種赤肉(豚肉肩中型種赤身),21.40,3.50,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111143.jpg,626,123
ガツ(豚の胃),17.40,5.10,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111168.jpg,626,121
豚ヒレ(豚肉ヒレ赤肉/豚ヒレ肉赤身/豚ヘレ),22.80,1.90,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111140.jpg,626,115
豚マメ(豚の腎臓),14.10,5.80,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111167.jpg,626,114
豚ヒレ中型種(豚肉ヒレ中型種赤肉/豚ヒレ肉中型種赤身/豚ヘレ),22.70,1.70,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111162.jpg,626,112
馬肉(バニク赤肉),20.10,2.50,0.30,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111109.jpg,626,110
シカ肉(鹿肉/しか肉赤肉),22.30,1.50,0.50,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111114.jpg,626,110
ヤギ肉(やぎ肉/山羊肉/ヒージャー),21.90,1.50,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111204.jpg,626,107
鯨肉(くじら肉/げいにく),24.10,0.40,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111110.jpg,626,106
マトン(マトンロース),5.37,5.10,0.03,1枚,30.0,https://cdn.slism.jp/calorie/foodImages/111199.jpg,626,71
スペアリブ(すぺありぶ),21.82,51.99,10.75,1人前,186.0,https://cdn.slism.jp/calorie/foodImages/202211.jpg,626,634
鶏皮(鶏皮むね),9.50,48.60,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111234.jpg,626,497
蜂の子(ハチの子缶詰/はちのこ),16.20,7.20,30.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111244.jpg,626,250
手羽(若鶏の手羽/手羽先),17.50,14.60,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111218.jpg,626,211
鶏ハツ(鶏心臓),14.50,15.50,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111231.jpg,626,207
鶏肉(鶏もも肉/鶏モモ肉/若鶏もも/にわとりもも肉),16.20,14.00,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111221.jpg,626,200
すっぽん(スッポン/鼈),16.40,13.40,0.50,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111243.jpg,626,197
鶏胸肉(若鶏のむね肉),19.50,11.60,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111219.jpg,626,191
鶏ひき肉(若鶏のひき肉/鶏挽肉),20.90,8.30,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111230.jpg,626,166
鳩肉(ピジョン/食用鳩/ハト肉),21.80,5.10,0.30,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111238.jpg,626,141
すずめ(スズメ肉/雀肉),18.10,5.90,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111211.jpg,626,132
鶏モモ肉皮無し(若鶏のもも皮なし),18.80,3.90,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111224.jpg,626,116
鶏レバー(鶏の肝臓/鳥肝),18.90,3.10,0.60,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111232.jpg,626,111
きじ肉(キジ肉),23.00,1.10,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111209.jpg,626,108
鶏胸肉皮無し(若鶏のむね肉皮なし),22.30,1.50,0.00,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111220.jpg,626,108
七面鳥(七面鳥肉/シチメンチョウ),23.50,0.70,0.10,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111210.jpg,626,106
ほろほろ鳥(ホロホロ鳥),22.50,1.00,0.20,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111240.jpg,626,105
蛙肉(蛙/カエル肉),22.30,0.40,0.30,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111242.jpg,626,99
砂肝(筋胃/鶏の砂肝),14.64,1.44,0.00,焼き鳥2本分,80.0,https://cdn.slism.jp/calorie/foodImages/111233.jpg,626,75
鶏軟骨(とりなんこつ/とりナンコツ),12.50,0.40,0.40,単位,100.0,https://cdn.slism.jp/calorie/foodImages/111236.jpg,626,54
ささみ(鶏ササミ/ささ身/若鶏のささみ),9.89,0.34,0.00,1本,43.0,https://cdn.slism.jp/calorie/foodImages/111227.jpg,626,45
乳製品・卵
バタークリーム(クリームバター),5.19,100.97,55.36,カップ1杯,210.0,https://cdn.slism.jp/calorie/foodImages/201389.jpg,747,1163
クリーム(乳脂肪クリーム/生クリーム),4.20,94.50,6.51,カップ1杯,210.0,https://cdn.slism.jp/calorie/foodImages/113014.jpg,747,909
ホイップクリーム(生クリーム),3.40,76.60,35.20,1カップ,200.0,https://cdn.slism.jp/calorie/foodImages/113017.jpg,747,844
ゴーダチーズ(ゴーダ),51.60,58.00,2.80,1パック,200.0,https://cdn.slism.jp/calorie/foodImages/113036.jpg,747,760
クリームチーズ(クリーム),16.40,66.00,4.60,1パック,200.0,https://cdn.slism.jp/calorie/foodImages/113035.jpg,747,692
粉ミルク(粉乳/乳児用調整粉乳),11.16,24.12,50.31,1カップ,90.0,https://cdn.slism.jp/calorie/foodImages/113011.jpg,747,463
バナナアイス(バナナアイスクリーム/ばななアイス),6.59,20.78,37.66,カップ1個,199.6,https://cdn.slism.jp/calorie/foodImages/201308.jpg,747,359
ブルーチーズ(ブルー),18.80,29.00,1.00,1個,100.0,https://cdn.slism.jp/calorie/foodImages/113039.jpg,747,349
スキムミルク(脱脂粉乳),30.60,0.90,47.97,1カップ,90.0,https://cdn.slism.jp/calorie/foodImages/113010.jpg,747,323
カマンベールチーズ(カマンベール),19.10,24.70,0.90,1パック,100.0,https://cdn.slism.jp/calorie/foodImages/113034.jpg,747,310
