name,protein,fat,carbo,unit,gram,image_url,ancestry,kcal
くるみバター(クルミバター/胡桃バター),1.18,5.50,4.29,大さじ1,12.5,https://cdn.slism.jp/calorie/foodImages/201409.jpg,1,66
アマランサス(ヒモゲイトウ/アカアワ),1.91,0.90,9.74,大さじ1,15.0,https://cdn.slism.jp/calorie/foodImages/101001.jpg,1,54
ハトムギ(はとむぎ精白粒),0.67,0.07,3.61,大さじ1,5.0,https://cdn.slism.jp/calorie/foodImages/101138.jpg,1,18
餃子の皮(ギョウザの皮/ギョーザの皮),0.56,0.08,3.42,餃子皮(直径8cm)1枚,6.0,https://cdn.slism.jp/calorie/foodImages/101074.jpg,1,17
シュウマイの皮(しゅうまいの皮/シューマイの皮),0.25,0.04,1.77,シュウマイ皮(7×7cm)1枚,3.0,https://cdn.slism.jp/calorie/foodImages/101075.jpg,1,9
マグロ山かけ丼(マグロの山かけ丼/鮪やまかけ丼/まぐろやまかけどん),51.09,3.70,141.99,1人前,606.0,https://cdn.slism.jp/calorie/foodImages/nonImage.jpg,1,824
たらこバターうどん(タラコバター醤油うどん),13.90,16.98,50.97,1人前,283.0,https://cdn.slism.jp/calorie/foodImages/202006.jpg,1,425
チーズリゾット(リゾットチーズ/チーズリゾッタ),16.52,19.94,37.95,1人前,371.3,https://cdn.slism.jp/calorie/foodImages/202104.jpg,1,405
棒棒鶏,28.65,25.82,13.31,1人前,291.8,https://cdn.slism.jp/calorie/foodImages/202209.jpg,1,400
さんまご飯(サンマご飯/さんま混ぜご飯),10.95,9.06,62.21,1膳,242.8,https://cdn.slism.jp/calorie/foodImages/201990.jpg,1,388
鶏肉のトマト煮(鶏肉のトマト煮込み),22.06,19.80,9.83,1人分,289.9,https://cdn.slism.jp/calorie/foodImages/201552.jpg,1,313
鮭の炊き込みご飯(鮭ご飯),17.86,3.25,48.60,1人前,207.0,https://cdn.slism.jp/calorie/foodImages/202061.jpg,1,313
柿パイ(柿のパイ/かきパイ),4.79,14.20,35.83,1個,137.5,https://cdn.slism.jp/calorie/foodImages/201782.jpg,1,293
揚げ玉おにぎり(天かすおにぎり/たぬきおにぎり),3.92,2.54,50.60,1個,150.0,https://cdn.slism.jp/calorie/foodImages/nonImage.jpg,1,251
納豆粥(おかゆ納豆／納豆がゆ),10.96,5.43,34.05,1食分,240.3,https://cdn.slism.jp/calorie/foodImages/201829.jpg,1,233
洋梨パウンドケーキ(洋ナシパウンドケーキ/洋梨バターケーキ),2.72,11.66,26.64,1個,83.2,https://cdn.slism.jp/calorie/foodImages/201760.jpg,1,225
さくらんぼケーキ(さくらんぼパウンドケーキ/チェリーパウンドケーキ),2.87,11.68,25.88,1個,76.5,https://cdn.slism.jp/calorie/foodImages/201759.jpg,1,223
かぼちゃサラダパン(パンプキンサラダパン/かぼちゃさらだぱん),4.80,7.16,29.65,1枚,80.0,https://cdn.slism.jp/calorie/foodImages/nonImage.jpg,1,203
